thisN,thisTrialN,thisRepN,probe_size_dg,correct_key,illusion_response.keys,illusion_response.corr,illusion_response.rt,illusion_response.duration,key_resp.keys,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction_text.started,instruction_key.started,instructions.stopped,instructions_loop.instruction_key.keys,instructions_loop.instruction_key.rt,instructions_loop.instruction_key.duration,illusion.started,probe_disk.started,target_disk.started,outer_disk_12.started,outer_disk_3.started,outer_disk_6.started,outer_disk_9.started,outer_disk_130.started,outer_disk_430.started,outer_disk_730.started,outer_disk_1030.started,illusion_response.started,fixation_cross.started,illusion.stopped,trials.illusion_response.keys,trials.illusion_response.corr,trials.illusion_response.rt,trials.illusion_response.duration,iti.started,key_resp.started,key_resp.stopped,iti.stopped,trials.key_resp.keys,end.started,end_text.started,end_text.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
19,9,1,1.7,l,l,1,1.2493651999975555,None,None,,,,,1,9,19,6,35.48959969999851,,,,,,,,,35.47387250000611,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,36.74014670000179,l,1,1.2493651999975555,None,36.740186500013806,36.756420799996704,37.25633860001108,37.239835999993375,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
20,0,2,1.6,l,l,1,1.4664896999893244,None,None,,,,,2,0,20,5,37.25633860001108,,,,,,,,,37.24058690000675,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,38.723604700004216,l,1,1.4664896999893244,None,38.723644699988654,38.739592199999606,39.239705699990736,39.223065099999076,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
21,1,2,1.0,s,s,1,0.41050149998045526,None,None,,,,,2,1,21,0,39.239705699990736,,,,,,,,,39.2238243999891,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.65672440000344,s,1,0.41050149998045526,None,39.65676710000844,39.67291510000359,40.172907900006976,40.15642640000442,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
22,2,2,1.9,l,l,1,1.7019094999996014,None,None,,,,,2,2,22,8,40.172907900006976,,,,,,,,,40.157172300008824,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,41.89018550000037,l,1,1.7019094999996014,None,41.890225000010105,41.90638940001372,42.40622480001184,42.38974310000776,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
23,3,2,1.7,l,l,1,1.1796445000218228,None,None,,,,,2,3,23,6,42.40622480001184,,,,,,,,,42.39048550001462,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,43.59002969998983,l,1,1.1796445000218228,None,43.590069500001846,43.60621669999091,44.10627809999278,44.089818000007654,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
24,4,2,1.4,s,s,1,1.3682609000243247,None,None,,,,,2,4,24,4,44.10627809999278,,,,,,,,,44.09054770000512,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,45.48994610001682,s,1,1.3682609000243247,None,45.48998750001192,45.50621710001724,46.00625549998949,45.98987210000632,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
25,5,2,1.2,s,s,1,0.9722415000142064,None,None,,,,,2,5,25,2,46.00625549998949,,,,,,,,,45.99070260001463,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.99017740000272,s,1,0.9722415000142064,None,46.99021960000391,47.006242800009204,47.52290720000747,47.50653459999012,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
26,6,2,1.8,l,l,1,1.1034615999960806,None,None,,,,,2,6,26,7,47.52290720000747,,,,,,,,,47.50730009999825,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,48.63998840001295,l,1,1.1034615999960806,None,48.64003209999646,48.65624750001007,49.156235400005244,49.13970450000488,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
27,7,2,1.1,s,s,1,1.630164500005776,None,None,,,,,2,7,27,1,49.156235400005244,,,,,,,,,49.14048729999922,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,50.79013060001307,s,1,1.630164500005776,None,50.79017359999125,50.80626949999714,51.30621060001431,51.28982370000449,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
28,8,2,1.3,s,s,1,1.3518428999814205,None,None,,,,,2,8,28,3,51.30621060001431,,,,,,,,,51.29057770001236,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,52.67328230000567,s,1,1.3518428999814205,None,52.673324500006856,52.68954700001632,53.18949280001107,53.17297449999023,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
