target_direction,flanker_direction,current_congruency,previous_congruency,response_type,initiation_time,movement_time,response_time
left,left,C,c,switch,0.127,0.291,0.403
right,left,I,c,switch,0.237,0.251,0.489
left,left,C,i,switch,0.127,0.335,0.46
left,right,I,c,repeat,0.234,0.351,0.592
right,right,C,i,switch,0.244,0.226,0.455
left,left,C,c,switch,0.174,0.253,0.416
right,right,C,c,switch,0.22,0.304,0.524
left,right,I,c,switch,0.237,0.291,0.517
left,right,I,i,repeat,0.288,0.288,0.576
left,right,I,i,repeat,0.257,0.322,0.573
right,right,C,i,switch,0.187,0.273,0.456
right,right,C,c,repeat,0.238,0.274,0.503
right,left,I,c,repeat,0.27,0.29,0.557
right,right,C,i,repeat,0.269,0.253,0.519
right,right,C,c,repeat,0.302,0.192,0.486
right,right,C,c,repeat,0.359,0.207,0.552
right,left,I,c,repeat,0.309,0.251,0.551
left,left,C,i,switch,0.251,0.186,0.438
left,right,I,c,repeat,0.22,0.3,0.522
right,right,C,i,switch,0.288,0.306,0.59
right,right,C,c,repeat,0.26,0.24,0.488
left,right,I,c,switch,0.235,0.241,0.473
right,right,C,i,switch,0.22,0.225,0.435
right,left,I,c,repeat,0.244,0.386,0.617
right,left,I,i,repeat,0.22,0.358,0.57
left,left,C,i,switch,0.239,0.172,0.403
left,right,I,c,repeat,0.368,0.221,0.586
left,left,C,i,repeat,0.227,0.217,0.439
left,left,C,c,repeat,0.27,0.166,0.437
left,left,C,c,repeat,0.201,0.276,0.473
right,right,C,c,switch,0.288,0.19,0.474
left,left,C,c,switch,0.236,0.223,0.452
right,left,I,c,switch,0.276,0.271,0.534
right,left,I,i,repeat,0.285,0.241,0.518
left,right,I,i,switch,0.359,0.237,0.583
left,right,I,i,repeat,0.286,0.3,0.588
right,left,I,i,switch,0.291,0.284,0.576
right,left,I,i,repeat,0.301,0.318,0.617
left,right,I,i,switch,0.341,0.253,0.588
left,right,I,i,repeat,0.256,0.336,0.586
left,right,I,i,repeat,0.258,0.301,0.556
left,right,I,i,repeat,0.088,0.504,0.593
left,right,I,i,repeat,0.41,0.201,0.6
left,right,I,i,repeat,0.207,0.355,0.56
right,left,I,i,repeat,0.307,0.336,0.643
right,left,I,i,repeat,0.303,0.285,0.592
right,right,C,i,repeat,0.289,0.322,0.607
right,right,C,c,repeat,0.287,0.273,0.553
right,left,I,c,repeat,0.388,0.203,0.588
left,left,C,i,switch,0.251,0.204,0.459
left,left,C,c,repeat,0.209,0.273,0.472
left,right,I,c,repeat,0.057,0.439,0.493
right,left,I,i,switch,0.301,0.304,0.606
right,left,I,i,repeat,0.386,0.234,0.625
right,right,C,i,repeat,0.344,0.201,0.535
left,right,I,c,switch,0.256,0.334,0.592
left,left,C,i,repeat,0.251,0.239,0.492
right,left,I,c,switch,0.204,0.338,0.536
left,left,C,i,switch,0.322,0.184,0.505
right,left,I,c,switch,0.489,0.373,0.852
right,right,C,i,repeat,0.343,0.273,0.604
right,left,I,c,repeat,0.406,0.22,0.623
right,left,I,i,repeat,0.301,0.301,0.601
