period,marriage_rate,divorce_rate,age_at_marriage,age_at_divorce
2010,13.04,10.1,41.3125,43.85
2011,12.46,9.7,41.3125,44.05
2012,12.51,9.9,41.925,44.35
2013,11.44,9.3,42.4875,45.05
2014,11.56,9.1,42.6,45.45
2015,11.12,9.2,42.25,45.35
2016,10.94,8.7,42.675,45.599999999999994
2017,10.9,8.3,42.5125,45.75
2018,10.81,7.6,42.65,45.55
2019,9.66,8.4,43.09375,45.75
